"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","Staphylococcus_aureus_subsp_aureus_strain1","Staphylococcus_aureus_subsp_aureus_strain2"
"alsT","","Amino-acid carrier protein AlsT","2","2","1","16","2233","","","","1460","1460","1460","EFOPJNHM_01252","MMPIJKCK_00810"
"ebpS","","Elastin-binding protein EbpS","2","2","1","16","2357","","","","1460","1460","1460","EFOPJNHM_01373","MMPIJKCK_00932"
"opuCC","","Carnitine transport binding protein OpuCC","2","2","1","16","664","","","","941","941","941","EFOPJNHM_02384","MMPIJKCK_01600"
"nirQ","","Denitrification regulatory protein NirQ","2","2","1","16","2283","","","","791","791","791","EFOPJNHM_01304","MMPIJKCK_00860"
"qoxD","","Quinol oxidase subunit 4","2","2","1","16","140","","","","290","290","290","EFOPJNHM_00954","MMPIJKCK_00514"
"frr","","Ribosome-recycling factor","2","2","1","16","2128","","","","554","554","554","EFOPJNHM_01151","MMPIJKCK_00706"
"infA","","Translation initiation factor IF-1","2","2","1","16","449","","","","218","218","218","EFOPJNHM_02170","MMPIJKCK_01389"
"nikE","","Nickel import system ATP-binding protein NikE","2","2","1","16","2254","","","","701","701","701","EFOPJNHM_01274","MMPIJKCK_00831"
"pflB","","Formate acetyltransferase","2","2","1","16","1110","","","","2249","2249","2249","EFOPJNHM_00201","MMPIJKCK_02015"
"group_1017","","Polyphenol oxidase","2","2","1","16","14","","","","791","791","791","EFOPJNHM_01080","MMPIJKCK_00638"
"gltX","","Glutamate--tRNA ligase","2","2","1","16","1404","","","","1454","1454","1454","EFOPJNHM_00496","MMPIJKCK_00011"
"dnaC","","Replicative DNA helicase","2","2","1","16","945","","","","1400","1400","1400","EFOPJNHM_00016","MMPIJKCK_01870"
"group_102","","hypothetical protein","2","2","1","16","2359","","","","953","953","953","EFOPJNHM_01375","MMPIJKCK_00934"
"yfhP","","putative protein YfhP","2","2","1","16","2512","","","","977","977","977","EFOPJNHM_01839","MMPIJKCK_02256"
"plsC","","1-acyl-sn-glycerol-3-phosphate acyltransferase","2","2","1","16","1840","","","","617","617","617","EFOPJNHM_01667","MMPIJKCK_01168"
"oatA_2","","O-acetyltransferase OatA","2","2","1","16","785","","","","1811","1811","1811","EFOPJNHM_02501","MMPIJKCK_01710"
"group_1023","","hypothetical protein","2","2","1","16","2078","","","","401","401","401","EFOPJNHM_01099","MMPIJKCK_00656"
"rpsB","","30S ribosomal protein S2","2","2","1","16","2125","","","","767","767","767","EFOPJNHM_01148","MMPIJKCK_00703"
"group_1025","","dITP/XTP pyrophosphatase","2","2","1","16","50","","","","587","587","587","EFOPJNHM_01044","MMPIJKCK_00603"
"sspC","","Staphostatin B","2","2","1","16","151","","","","329","329","329","EFOPJNHM_00943","MMPIJKCK_00503"
"cfiB","","2-oxoglutarate carboxylase small subunit","2","2","1","16","2028","","","","1355","1355","1355","EFOPJNHM_01482","MMPIJKCK_00982"
"sarR","","HTH-type transcriptional regulator SarR","2","2","1","16","514","","","","347","347","347","EFOPJNHM_02235","MMPIJKCK_01454"
"oxyR","","Hydrogen peroxide-inducible genes activator","2","2","1","16","1553","","","","866","866","866","EFOPJNHM_00646","MMPIJKCK_00159"
"group_103","","hypothetical protein","2","2","1","16","2379","","","","686","905","795","EFOPJNHM_01380","MMPIJKCK_00939"
"cspLA","","Cold shock-like protein CspLA","2","2","1","16","920","","","","200","200","200","EFOPJNHM_02636","MMPIJKCK_01845"
"group_1031","","Nucleotide-binding protein","2","2","1","16","1645","","","","911","911","911","EFOPJNHM_00739","MMPIJKCK_00251"
"rnpA","","Ribonuclease P protein component","2","2","1","16","928","","","","347","347","347","EFOPJNHM_02644","MMPIJKCK_01853"
"vraS","","Sensor protein VraS","2","2","1","16","2528","","","","1043","1043","1043","EFOPJNHM_01855","MMPIJKCK_02272"
"opuD_3","","Glycine betaine transporter OpuD","2","2","1","16","831","","","","1622","1622","1622","EFOPJNHM_02547","MMPIJKCK_01756"
"rpoC","","DNA-directed RNA polymerase subunit beta'","2","2","1","16","1419","","","","3623","3623","3623","EFOPJNHM_00511","MMPIJKCK_00026"
"cycA_1","","D-serine/D-alanine/glycine transporter","2","2","1","16","1869","","","","1361","1361","1361","EFOPJNHM_01638","MMPIJKCK_01139"
"rpsT","","30S ribosomal protein S20","2","2","1","16","1970","","","","251","251","251","EFOPJNHM_01539","MMPIJKCK_01039"
"mneS","","Manganese efflux system protein MneS","2","2","1","16","636","","","","866","866","866","EFOPJNHM_02356","MMPIJKCK_01572"
"secDF","","Protein translocase subunit SecDF","2","2","1","16","1920","","","","2279","2279","2279","EFOPJNHM_01588","MMPIJKCK_01089"
"group_104","","hypothetical protein","2","2","1","16","2752","","","","533","536","534","EFOPJNHM_01418","MMPIJKCK_00338"
"group_1040","","hypothetical protein","2","2","1","16","1169","","","","458","458","458","EFOPJNHM_00258","MMPIJKCK_02076"
"dinB","","DNA polymerase IV","2","2","1","16","2544","","","","1070","1070","1070","EFOPJNHM_01865","MMPIJKCK_02282"
"czcD_1","","Cadmium, cobalt and zinc/H(+)-K(+) antiporter","2","2","1","16","1050","","","","959","959","959","EFOPJNHM_00143","MMPIJKCK_01967"
"pdhB","","Pyruvate dehydrogenase E1 component subunit beta","2","2","1","16","105","","","","977","977","977","EFOPJNHM_00989","MMPIJKCK_00549"
"fecD","","Fe(3+) dicitrate transport system permease protein FecD","2","2","1","16","401","","","","968","968","968","EFOPJNHM_02128","MMPIJKCK_01342"
"group_1045","","hypothetical protein","2","2","1","16","2572","","","","401","401","401","EFOPJNHM_01893","MMPIJKCK_02324"
"walK","","Sensor protein kinase WalK","2","2","1","16","948","","","","1826","1826","1826","EFOPJNHM_00021","MMPIJKCK_01875"
"hemW","","Heme chaperone HemW","2","2","1","16","1972","","","","1157","1157","1157","EFOPJNHM_01537","MMPIJKCK_01037"
"rsmA","","Ribosomal RNA small subunit methyltransferase A","2","2","1","16","1369","","","","893","893","893","EFOPJNHM_00445","MMPIJKCK_02557"
"group_1049","","hypothetical protein","2","2","1","16","526","","","","233","233","233","EFOPJNHM_02247","MMPIJKCK_01466"
"malR","","HTH-type transcriptional regulator MalR","2","2","1","16","2046","","","","1019","1019","1019","EFOPJNHM_01464","MMPIJKCK_00958"
"group_1050","","hypothetical protein","2","2","1","16","843","","","","200","200","200","EFOPJNHM_02559","MMPIJKCK_01768"
"trmL","","tRNA (cytidine(34)-2'-O)-methyltransferase","2","2","1","16","2499","","","","470","470","470","EFOPJNHM_01794","MMPIJKCK_01301"
"yfhH","","putative protein YfhH","2","2","1","16","2515","","","","314","314","314","EFOPJNHM_01842","MMPIJKCK_02259"
"group_1053","nupC_1","Nucleoside permease NupC","2","2","1","16","1204","","","","1220","1220","1220","EFOPJNHM_00288","MMPIJKCK_02111"
"hpf","","Ribosome hibernation promotion factor","2","2","1","16","1632","","","","572","572","572","EFOPJNHM_00726","MMPIJKCK_00238"
"group_1055","","hypothetical protein","2","2","1","16","568","","","","638","638","638","EFOPJNHM_02289","MMPIJKCK_01507"
"mhqD","","Putative hydrolase MhqD","2","2","1","16","735","","","","593","593","593","EFOPJNHM_02451","MMPIJKCK_01660"
"group_1057","","putative N-acetyltransferase","2","2","1","16","24","","","","440","440","440","EFOPJNHM_01069","MMPIJKCK_00628"
"group_1058","","Ferredoxin","2","2","1","16","2363","","","","248","248","248","EFOPJNHM_01376","MMPIJKCK_00935"
"group_1059","","hypothetical protein","2","2","1","16","2151","","","","392","392","392","EFOPJNHM_01174","MMPIJKCK_00729"
"group_106","","hypothetical protein","2","2","1","16","2016","","","","374","374","374","EFOPJNHM_01494","MMPIJKCK_00994"
"group_1060","","Phosphorylated carbohydrates phosphatase","2","2","1","16","539","","","","635","635","635","EFOPJNHM_02260","MMPIJKCK_01478"
"group_1061","","hypothetical protein","2","2","1","16","1459","","","","368","368","368","EFOPJNHM_00550","MMPIJKCK_00064"
"map_2","","Methionine aminopeptidase","2","2","1","16","2531","","","","758","758","758","EFOPJNHM_01858","MMPIJKCK_02275"
"group_1063","","hypothetical protein","2","2","1","16","2277","","","","308","308","308","EFOPJNHM_01297","MMPIJKCK_00854"
"tagH_1","","Teichoic acids export ATP-binding protein TagH","2","2","1","16","1519","","","","794","794","794","EFOPJNHM_00612","MMPIJKCK_00125"
"pdhC_1","","Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex","2","2","1","16","104","","","","1292","1292","1292","EFOPJNHM_00990","MMPIJKCK_00550"
"rnj1","","Ribonuclease J 1","2","2","1","16","110","","","","1697","1697","1697","EFOPJNHM_00984","MMPIJKCK_00544"
"group_1067","","hypothetical protein","2","2","1","16","1041","","","","1238","1238","1238","EFOPJNHM_00134","MMPIJKCK_01958"
"dhaK","","PTS-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit DhaK","2","2","1","16","1531","","","","968","968","968","EFOPJNHM_00624","MMPIJKCK_00137"
"group_1069","","hypothetical protein","2","2","1","16","2578","","","","563","563","563","EFOPJNHM_01899","MMPIJKCK_02330"
"comEA","","ComE operon protein 1","2","2","1","16","1966","","","","677","677","677","EFOPJNHM_01543","MMPIJKCK_01043"
"ydjZ","","TVP38/TMEM64 family inner membrane protein YdjZ","2","2","1","16","2826","","","","575","575","575","EFOPJNHM_00859","MMPIJKCK_00421"
"murG","","UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase","2","2","1","16","2292","","","","1070","1070","1070","EFOPJNHM_01312","MMPIJKCK_00869"
"group_1072","","hypothetical protein","2","2","1","16","2186","","","","212","212","212","EFOPJNHM_01208","MMPIJKCK_00764"
"ribE","","Riboflavin synthase","2","2","1","16","1800","","","","632","632","632","EFOPJNHM_01707","MMPIJKCK_01210"
"group_1074","","hypothetical protein","2","2","1","16","1498","","","","716","716","716","EFOPJNHM_00591","MMPIJKCK_00104"
"xpt","","Xanthine phosphoribosyltransferase","2","2","1","16","1276","","","","578","578","578","EFOPJNHM_00359","MMPIJKCK_02183"
"msrAB","","Peptide methionine sulfoxide reductase msrA/msrB","2","2","1","16","878","","","","476","476","476","EFOPJNHM_02594","MMPIJKCK_01803"
"group_1077","","Sulfurtransferase","2","2","1","16","1810","","","","311","311","311","EFOPJNHM_01697","MMPIJKCK_01200"
"accA","","Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha","2","2","1","16","1866","","","","944","944","944","EFOPJNHM_01641","MMPIJKCK_01142"
"yabA","","Initiation-control protein YabA","2","2","1","16","1362","","","","347","347","347","EFOPJNHM_00438","MMPIJKCK_02550"
"yhbY","","RNA-binding protein","2","2","1","16","1961","","","","290","290","290","EFOPJNHM_01548","MMPIJKCK_01048"
"group_1080","","hypothetical protein","2","2","1","16","769","","","","227","227","227","EFOPJNHM_02485","MMPIJKCK_01694"
"yugI","","General stress protein 13","2","2","1","16","2818","","","","377","377","377","EFOPJNHM_00851","MMPIJKCK_00413"
"group_1082","","hypothetical protein","2","2","1","16","1254","","","","191","191","191","EFOPJNHM_00338","MMPIJKCK_02161"
"infC","","Translation initiation factor IF-3","2","2","1","16","1885","","","","560","560","560","EFOPJNHM_01622","MMPIJKCK_01124"
"group_1084","","hypothetical protein","2","2","1","16","1537","","","","428","428","428","EFOPJNHM_00630","MMPIJKCK_00143"
"treP_2","","PTS system trehalose-specific EIIBC component","2","2","1","16","596","","","","1442","1442","1442","EFOPJNHM_02316","MMPIJKCK_01533"
"group_1086","","hypothetical protein","2","2","1","16","2491","","","","464","464","464","EFOPJNHM_01786","MMPIJKCK_01293"
"bdbD","","Disulfide bond formation protein D","2","2","1","16","627","","","","599","599","599","EFOPJNHM_02347","MMPIJKCK_01563"
"rho","","Transcription termination factor Rho","2","2","1","16","351","","","","1316","1316","1316","EFOPJNHM_02070","MMPIJKCK_02487"
"dltD","","Protein DltD","2","2","1","16","2798","","","","1175","1175","1175","EFOPJNHM_00831","MMPIJKCK_00393"
"entA_2","","Enterotoxin type A","2","2","1","16","1955","","","","188","689","438","EFOPJNHM_01554","MMPIJKCK_01054"
"glnR","","HTH-type transcriptional regulator GlnR","2","2","1","16","2176","","","","368","368","368","EFOPJNHM_01199","MMPIJKCK_00754"
"mcsA","","Protein-arginine kinase activator protein","2","2","1","16","1399","","","","566","566","566","EFOPJNHM_00491","MMPIJKCK_00006"
"group_1092","","hypothetical protein","2","2","1","16","361","","","","671","671","671","EFOPJNHM_02080","MMPIJKCK_02477"
"rpmG2_1","","50S ribosomal protein L33 2","2","2","1","16","2213","","","","149","149","149","EFOPJNHM_01232","MMPIJKCK_00790"
"rpsJ","","30S ribosomal protein S10","2","2","1","16","472","","","","308","308","308","EFOPJNHM_02193","MMPIJKCK_01412"
"mgtE","","Magnesium transporter MgtE","2","2","1","16","186","","","","1385","1385","1385","EFOPJNHM_00903","MMPIJKCK_00465"
"yydI","","putative peptide export ATP-binding protein YydI","2","2","1","16","743","","","","635","635","635","EFOPJNHM_02459","MMPIJKCK_01668"
"purQ","","Phosphoribosylformylglycinamidine synthase subunit PurQ","2","2","1","16","130","","","","671","671","671","EFOPJNHM_00964","MMPIJKCK_00524"
"group_1098","","hypothetical protein","2","2","1","16","913","","","","575","575","575","EFOPJNHM_02629","MMPIJKCK_01838"
"group_1099","","putative leukocidin-like protein 1","2","2","1","16","2722","","","","1016","1016","1016","EFOPJNHM_01966","MMPIJKCK_02403"
"sdrE_2","","Serine-aspartate repeat-containing protein E","2","2","1","16","1439","","","","155","4043","2099","EFOPJNHM_00530","MMPIJKCK_00045"
"engB","","putative GTP-binding protein EngB","2","2","1","16","1892","","","","209","590","399","EFOPJNHM_01615","MMPIJKCK_01117"
"prs","","Ribose-phosphate pyrophosphokinase","2","2","1","16","1376","","","","965","965","965","EFOPJNHM_00452","MMPIJKCK_02563"
"focA","","putative formate transporter 1","2","2","1","16","1196","","","","824","824","824","EFOPJNHM_00280","MMPIJKCK_02103"
"group_1102","","hypothetical protein","2","2","1","16","1825","","","","596","596","596","EFOPJNHM_01682","MMPIJKCK_01183"
"group_1103","","hypothetical protein","2","2","1","16","940","","","","329","329","329","EFOPJNHM_00011","MMPIJKCK_01865"
"crcB_1","","Putative fluoride ion transporter CrcB","2","2","1","16","1786","","","","365","365","365","EFOPJNHM_01720","MMPIJKCK_01224"
"ytrA","","HTH-type transcriptional repressor YtrA","2","2","1","16","2583","","","","380","380","380","EFOPJNHM_01904","MMPIJKCK_02335"
"group_1106","","hypothetical protein","2","2","1","16","2496","","","","395","395","395","EFOPJNHM_01791","MMPIJKCK_01298"
"pcrB","","Heptaprenylglyceryl phosphate synthase","2","2","1","16","2555","","","","692","692","692","EFOPJNHM_01876","MMPIJKCK_02307"
"rpsC","","30S ribosomal protein S3","2","2","1","16","465","","","","653","653","653","EFOPJNHM_02186","MMPIJKCK_01405"
"odh","","Opine dehydrogenase","2","2","1","16","520","","","","1082","1082","1082","EFOPJNHM_02241","MMPIJKCK_01460"
"isdH","","Iron-regulated surface determinant protein H","2","2","1","16","1836","","","","2681","2687","2684","EFOPJNHM_01671","MMPIJKCK_01172"
"nrdE","","Ribonucleoside-diphosphate reductase subunit alpha","2","2","1","16","1611","","","","2105","2105","2105","EFOPJNHM_00705","MMPIJKCK_00217"
"hemB","","Delta-aminolevulinic acid dehydratase","2","2","1","16","1897","","","","974","974","974","EFOPJNHM_01610","MMPIJKCK_01112"
"tetA","","Tetracycline resistance protein, class B","2","2","1","16","1576","","","","1166","1166","1166","EFOPJNHM_00669","MMPIJKCK_00182"
"rpmF","","50S ribosomal protein L32","2","2","1","16","73","","","","173","173","173","EFOPJNHM_01021","MMPIJKCK_00581"
"sarS","","HTH-type transcriptional regulator SarS","2","2","1","16","991","","","","752","752","752","EFOPJNHM_00084","MMPIJKCK_01911"
"group_1115","","putative transcriptional regulatory protein","2","2","1","16","1550","","","","716","716","716","EFOPJNHM_00643","MMPIJKCK_00156"
"slyA_2","","Transcriptional regulator SlyA","2","2","1","16","1224","","","","419","419","419","EFOPJNHM_00308","MMPIJKCK_02131"
"ltaS","","Lipoteichoic acid synthase","2","2","1","16","1599","","","","1940","1940","1940","EFOPJNHM_00692","MMPIJKCK_00205"
"trxA","","Thioredoxin","2","2","1","16","56","","","","314","314","314","EFOPJNHM_01038","MMPIJKCK_00597"
"rpoA","","DNA-directed RNA polymerase subunit alpha","2","2","1","16","445","","","","944","944","944","EFOPJNHM_02166","MMPIJKCK_01385"
"ytnP","","putative quorum-quenching lactonase YtnP","2","2","1","16","1820","","","","842","884","863","EFOPJNHM_01687","MMPIJKCK_01188"
"group_1120","","hypothetical protein","2","2","1","16","1624","","","","494","494","494","EFOPJNHM_00718","MMPIJKCK_00230"
"purB","","Adenylosuccinate lyase","2","2","1","16","2557","","","","1295","1295","1295","EFOPJNHM_01878","MMPIJKCK_02309"
"metK","","S-adenosylmethionine synthase","2","2","1","16","1782","","","","1193","1193","1193","EFOPJNHM_01724","MMPIJKCK_01228"
"group_1123","","hypothetical protein","2","2","1","16","1828","","","","491","491","491","EFOPJNHM_01679","MMPIJKCK_01180"
"cdaA","","Cyclic di-AMP synthase CdaA","2","2","1","16","390","","","","809","809","809","EFOPJNHM_02108","MMPIJKCK_02449"
"group_1125","","hypothetical protein","2","2","1","16","2338","","","","698","698","698","EFOPJNHM_01354","MMPIJKCK_00913"
"rplJ","","50S ribosomal protein L10","2","2","1","16","1415","","","","500","500","500","EFOPJNHM_00507","MMPIJKCK_00022"
"sdhA","","L-serine dehydratase, alpha chain","2","2","1","16","748","","","","899","899","899","EFOPJNHM_02464","MMPIJKCK_01673"
"group_1128","","putative protein","2","2","1","16","2229","","","","296","296","296","EFOPJNHM_01248","MMPIJKCK_00806"
"purS","","Phosphoribosylformylglycinamidine synthase subunit PurS","2","2","1","16","131","","","","263","263","263","EFOPJNHM_00963","MMPIJKCK_00523"
"group_113","","hypothetical protein","2","2","1","16","1811","","","","608","6560","3584","EFOPJNHM_01696","MMPIJKCK_01197"
"cvfB","","Conserved virulence factor B","2","2","1","16","2265","","","","902","902","902","EFOPJNHM_01285","MMPIJKCK_00842"
"mobA","","putative molybdenum cofactor guanylyltransferase","2","2","1","16","489","","","","599","599","599","EFOPJNHM_02210","MMPIJKCK_01429"
"polC","","DNA polymerase III PolC-type","2","2","1","16","2133","","","","4316","4316","4316","EFOPJNHM_01156","MMPIJKCK_00711"
"cap8A_1","","Capsular polysaccharide type 8 biosynthesis protein cap8A","2","2","1","16","882","","","","662","662","662","EFOPJNHM_02598","MMPIJKCK_01807"
"group_1136","","hypothetical protein","2","2","1","16","2781","","","","1397","1397","1397","EFOPJNHM_00814","MMPIJKCK_00309"
"menA","","1,4-dihydroxy-2-naphthoate octaprenyltransferase","2","2","1","16","156","","","","938","938","938","EFOPJNHM_00938","MMPIJKCK_00498"
"group_1138","","hypothetical protein","2","2","1","16","1694","","","","260","260","260","EFOPJNHM_00789","MMPIJKCK_00284"
"group_1139","","hypothetical protein","2","2","1","16","1620","","","","878","878","878","EFOPJNHM_00714","MMPIJKCK_00226"
"menC","","o-succinylbenzoate synthase","2","2","1","16","1777","","","","1001","1001","1001","EFOPJNHM_01729","MMPIJKCK_01233"
"purC","","Phosphoribosylaminoimidazole-succinocarboxamide synthase","2","2","1","16","132","","","","704","704","704","EFOPJNHM_00962","MMPIJKCK_00522"
"sauU","","putative sulfoacetate transporter SauU","2","2","1","16","729","","","","1277","1277","1277","EFOPJNHM_02445","MMPIJKCK_01654"
"group_1142","","hypothetical protein","2","2","1","16","1380","","","","1526","1526","1526","EFOPJNHM_00456","MMPIJKCK_02567"
"group_1143","","hypothetical protein","2","2","1","16","359","","","","860","860","860","EFOPJNHM_02078","MMPIJKCK_02479"
"mgt","","Monofunctional glycosyltransferase","2","2","1","16","2517","","","","809","809","809","EFOPJNHM_01844","MMPIJKCK_02261"
"ftsL","","Cell division protein FtsL","2","2","1","16","20","","","","401","401","401","EFOPJNHM_01073","MMPIJKCK_00632"
"glvR","","HTH-type transcriptional regulator GlvR","2","2","1","16","543","","","","764","764","764","EFOPJNHM_02264","MMPIJKCK_01482"
"gatC_2","","Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C","2","2","1","16","2550","","","","302","302","302","EFOPJNHM_01871","MMPIJKCK_02302"
"pyrC","","Dihydroorotase","2","2","1","16","2072","","","","1277","1277","1277","EFOPJNHM_01093","MMPIJKCK_00650"
"hemE","","Uroporphyrinogen decarboxylase","2","2","1","16","2478","","","","1037","1037","1037","EFOPJNHM_01773","MMPIJKCK_01280"
"menE_2","","2-succinylbenzoate--CoA ligase","2","2","1","16","1776","","","","1478","1478","1478","EFOPJNHM_01730","MMPIJKCK_01234"
"icaR","","Biofilm operon icaADBC HTH-type negative transcriptional regulator IcaR","2","2","1","16","883","","","","560","560","560","EFOPJNHM_02599","MMPIJKCK_01808"
"folD","","Bifunctional protein FolD protein","2","2","1","16","135","","","","860","860","860","EFOPJNHM_00959","MMPIJKCK_00519"
"fepC","","Ferric enterobactin transport ATP-binding protein FepC","2","2","1","16","1528","","","","797","797","797","EFOPJNHM_00621","MMPIJKCK_00134"
"group_1153","","hypothetical protein","2","2","1","16","476","","","","887","887","887","EFOPJNHM_02197","MMPIJKCK_01416"
"group_1154","","hypothetical protein","2","2","1","16","2794","","","","152","152","152","EFOPJNHM_00827","MMPIJKCK_00389"
"group_1155","","hypothetical protein","2","2","1","16","602","","","","365","365","365","EFOPJNHM_02322","MMPIJKCK_01539"
"group_1156","","hypothetical protein","2","2","1","16","1706","","","","113","113","113","EFOPJNHM_00801","MMPIJKCK_00296"
"tagG","","Teichoic acid translocation permease protein TagG","2","2","1","16","1520","","","","812","812","812","EFOPJNHM_00613","MMPIJKCK_00126"
"isdI","","Heme oxygenase (staphylobilin-producing) 2","2","2","1","16","1047","","","","326","326","326","EFOPJNHM_00140","MMPIJKCK_01964"
"mnhE1","","Na(+)/H(+) antiporter subunit E1","2","2","1","16","2811","","","","479","479","479","EFOPJNHM_00844","MMPIJKCK_00406"
"group_116","","hypothetical protein","2","2","1","16","1775","","","","482","482","482","EFOPJNHM_01731","MMPIJKCK_01235"
"aldC_1","","Alpha-acetolactate decarboxylase","2","2","1","16","432","","","","704","704","704","EFOPJNHM_02157","MMPIJKCK_01372"
"sodA","","Superoxide dismutase [Mn/Fe] 1","2","2","1","16","2002","","","","599","599","599","EFOPJNHM_01507","MMPIJKCK_01007"
"rplQ","","50S ribosomal protein L17","2","2","1","16","444","","","","368","368","368","EFOPJNHM_02165","MMPIJKCK_01384"
"group_1163","","hypothetical protein","2","2","1","16","399","","","","260","260","260","EFOPJNHM_02126","MMPIJKCK_01340"
"group_1164","","hypothetical protein","2","2","1","16","1346","","","","1112","1112","1112","EFOPJNHM_00418","MMPIJKCK_02237"
"cymR","","HTH-type transcriptional regulator CymR","2","2","1","16","1930","","","","422","422","422","EFOPJNHM_01578","MMPIJKCK_01079"
"bceA_1","","Bacitracin export ATP-binding protein BceA","2","2","1","16","1542","","","","761","761","761","EFOPJNHM_00635","MMPIJKCK_00148"
"group_1167","","hypothetical protein","2","2","1","16","2210","","","","314","314","314","EFOPJNHM_01229","MMPIJKCK_00787"
"adh","","Alcohol dehydrogenase","2","2","1","16","1488","","","","1010","1010","1010","EFOPJNHM_00581","MMPIJKCK_00095"
"dtd","","D-aminoacyl-tRNA deacylase","2","2","1","16","1924","","","","452","452","452","EFOPJNHM_01584","MMPIJKCK_01085"
"group_117","","hypothetical protein","2","2","1","16","1773","","","","995","995","995","EFOPJNHM_01733","MMPIJKCK_01237"
"group_1170","","hypothetical protein","2","2","1","16","594","","","","623","623","623","EFOPJNHM_02314","MMPIJKCK_01531"
"group_1171","","hypothetical protein","2","2","1","16","1453","","","","365","365","365","EFOPJNHM_00544","MMPIJKCK_00058"
"pyrP","","Uracil permease","2","2","1","16","2070","","","","1307","1307","1307","EFOPJNHM_01091","MMPIJKCK_00648"
"katA","","Catalase","2","2","1","16","2212","","","","1517","1517","1517","EFOPJNHM_01231","MMPIJKCK_00789"
"ppaC","","putative manganese-dependent inorganic pyrophosphatase","2","2","1","16","2569","","","","929","929","929","EFOPJNHM_01890","MMPIJKCK_02321"
"group_1175","","hypothetical protein","2","2","1","16","2178","","","","89","89","89","EFOPJNHM_01201","MMPIJKCK_00756"
"group_1176","","hypothetical protein","2","2","1","16","1709","","","","296","296","296","EFOPJNHM_00804","MMPIJKCK_00299"
"gatB_2","","Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B","2","2","1","16","2548","","","","1427","1427","1427","EFOPJNHM_01869","MMPIJKCK_02300"
"thyA","","Thymidylate synthase","2","2","1","16","2302","","","","956","956","956","EFOPJNHM_01322","MMPIJKCK_00878"
"rex","","Redox-sensing transcriptional repressor Rex","2","2","1","16","2693","","","","635","635","635","EFOPJNHM_01992","MMPIJKCK_02426"
"group_118","","hypothetical protein","2","2","1","16","1772","","","","626","626","626","EFOPJNHM_01734","MMPIJKCK_01238"
"salA","","Iron-sulfur cluster carrier protein","2","2","1","16","392","","","","1064","1064","1064","EFOPJNHM_02119","MMPIJKCK_01333"
"group_1181","","hypothetical protein","2","2","1","16","341","","","","353","353","353","EFOPJNHM_02059","MMPIJKCK_02497"
"rpmE2","","50S ribosomal protein L31 type B","2","2","1","16","350","","","","254","254","254","EFOPJNHM_02069","MMPIJKCK_02488"
"dnaN","","Beta sliding clamp","2","2","1","16","931","","","","1133","1133","1133","EFOPJNHM_00002","MMPIJKCK_01856"
"mgrA","","HTH-type transcriptional regulator MgrA","2","2","1","16","1567","","","","443","443","443","EFOPJNHM_00660","MMPIJKCK_00173"
"group_1185","","hypothetical protein","2","2","1","16","1552","","","","644","644","644","EFOPJNHM_00645","MMPIJKCK_00158"
