locus_tag	ftype	length_bp	gene	EC_number	COG	product
GEALKAJD_00084	CDS	390	rpsK			30S ribosomal protein S11
GEALKAJD_00085	CDS	939	rpoA	2.7.7.6	COG0202	DNA-directed RNA polymerase subunit alpha
GEALKAJD_00086	CDS	381	rplQ		COG0203	50S ribosomal protein L17
GEALKAJD_00087	CDS	840	ecfA1	7.-.-.-		Energy-coupling factor transporter ATP-binding protein EcfA1
GEALKAJD_00088	CDS	870	ecfA2	3.6.3.-		Energy-coupling factor transporter ATP-binding protein EcfA2
GEALKAJD_00089	CDS	798	ecfT			Energy-coupling factor transporter transmembrane protein EcfT
GEALKAJD_00090	CDS	747	truA_1	5.4.99.12	COG0101	tRNA pseudouridine synthase A
GEALKAJD_00091	CDS	2670				hypothetical protein
GEALKAJD_00092	CDS	189	rpmB			50S ribosomal protein L28
GEALKAJD_00093	CDS	363				putative protein
GEALKAJD_00094	CDS	1683				putative protein
GEALKAJD_00095	CDS	2037	recG	3.6.4.12		ATP-dependent DNA helicase RecG
GEALKAJD_00096	CDS	1002	plsX	2.3.1.274	COG0416	Phosphate acyltransferase
GEALKAJD_00097	CDS	243	acpP		COG0236	Acyl carrier protein
GEALKAJD_00098	CDS	1005	oppD_1		COG0444	Oligopeptide transport ATP-binding protein OppD
GEALKAJD_00099	CDS	945	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
GEALKAJD_00100	CDS	963	gsiC		COG0601	Glutathione transport system permease protein GsiC
GEALKAJD_00101	CDS	915				hypothetical protein
GEALKAJD_00102	CDS	1782				hypothetical protein
GEALKAJD_00103	CDS	687	rnc	3.1.26.3	COG0571	Ribonuclease 3
GEALKAJD_00104	CDS	3582	smc_1		COG1196	Chromosome partition protein Smc
GEALKAJD_00105	CDS	810	yidA_1	3.1.3.23	COG0561	Sugar phosphatase YidA
GEALKAJD_00106	CDS	999	ftsY		COG0552	Signal recognition particle receptor FtsY
GEALKAJD_00107	CDS	2268	gshAB		COG1181	Glutathione biosynthesis bifunctional protein GshAB
GEALKAJD_00108	CDS	453	yueI		COG5506	putative protein YueI
GEALKAJD_00109	CDS	951	yclN		COG4606	Petrobactin import system permease protein YclN
GEALKAJD_00110	CDS	960	yclO		COG4605	Petrobactin import system permease protein YclO
GEALKAJD_00111	CDS	756	yclP	7.2.2.-	COG4604	Petrobactin import ATP-binding protein YclP
GEALKAJD_00112	CDS	954	yclQ		COG4607	Petrobactin-binding protein YclQ
GEALKAJD_00113	CDS	108				hypothetical protein
GEALKAJD_00114	CDS	297				hypothetical protein
GEALKAJD_00115	CDS	357				hypothetical protein
GEALKAJD_00116	CDS	900				hypothetical protein
GEALKAJD_00117	CDS	729				hypothetical protein
GEALKAJD_00118	CDS	2010				hypothetical protein
GEALKAJD_00119	CDS	1077				hypothetical protein
GEALKAJD_00120	CDS	459				hypothetical protein
GEALKAJD_00121	CDS	1179				IS256 family transposase ISEf1
GEALKAJD_00122	CDS	957				hypothetical protein
GEALKAJD_00123	CDS	954			COG2826	IS30 family transposase IS1252
GEALKAJD_00124	CDS	735	gla		COG0580	Glycerol facilitator-aquaporin gla
GEALKAJD_00125	CDS	411	cidA			Holin-like protein CidA
GEALKAJD_00126	CDS	702	yohK		COG1346	Inner membrane protein YohK
GEALKAJD_00127	CDS	1587				hypothetical protein
GEALKAJD_00128	CDS	222				hypothetical protein
GEALKAJD_00129	CDS	762		1.1.1.391	COG1028	3-beta-hydroxycholanate 3-dehydrogenase (NAD(+)) 2
GEALKAJD_00130	CDS	510	queT_1		COG4708	Queuosine precursor transporter QueT
GEALKAJD_00131	CDS	540	bioY2		COG1268	Biotin transporter BioY2
GEALKAJD_00132	CDS	612	rpsD		COG0522	30S ribosomal protein S4
GEALKAJD_00133	CDS	834	nirC		COG2116	Nitrite transporter NirC
GEALKAJD_00134	CDS	636				hypothetical protein
GEALKAJD_00135	CDS	774				Putative bifunctional phosphatase/peptidyl-prolyl cis-trans isomerase
GEALKAJD_00136	CDS	798	ymdB	3.1.4.16	COG1692	2',3'-cyclic-nucleotide 2'-phosphodiesterase
GEALKAJD_00137	CDS	375	ymcA		COG4550	putative protein YmcA
GEALKAJD_00138	CDS	2646	mutS_1		COG0249	DNA mismatch repair protein MutS
GEALKAJD_00139	CDS	2109	mutL		COG0323	DNA mismatch repair protein MutL
GEALKAJD_00140	CDS	561	maf	3.6.1.9	COG0424	dTTP/UTP pyrophosphatase
GEALKAJD_00141	CDS	1989				hypothetical protein
GEALKAJD_00142	CDS	714	treR		COG2188	HTH-type transcriptional regulator TreR
GEALKAJD_00143	CDS	447	msrB	1.8.4.12		Peptide methionine sulfoxide reductase MsrB
GEALKAJD_00144	CDS	315	ruvA_1	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
GEALKAJD_00145	CDS	339	ruvA_2	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
GEALKAJD_00146	CDS	1002	ruvB	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
GEALKAJD_00147	CDS	579				hypothetical protein
GEALKAJD_00148	CDS	483	yfkJ	3.1.3.48	COG0394	Low molecular weight protein-tyrosine-phosphatase YfkJ
GEALKAJD_00149	CDS	375				hypothetical protein
GEALKAJD_00150	CDS	1179				IS256 family transposase ISEf1
GEALKAJD_00151	CDS	1353	brnQ_1		COG1114	Branched-chain amino acid transport system 2 carrier protein
GEALKAJD_00152	CDS	591				Potassium channel
GEALKAJD_00153	CDS	1350	cycA_1		COG1113	D-serine/D-alanine/glycine transporter
GEALKAJD_00154	CDS	741	artM_1		COG1126	Arginine transport ATP-binding protein ArtM
GEALKAJD_00155	CDS	1593	mltF_1	4.2.2.-		Membrane-bound lytic murein transglycosylase F
GEALKAJD_00156	CDS	192				hypothetical protein
GEALKAJD_00157	CDS	297				hypothetical protein
GEALKAJD_00158	CDS	726	cobB	2.3.1.286	COG0846	NAD-dependent protein deacetylase
GEALKAJD_00159	CDS	843	dapH_1	2.3.1.89		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
GEALKAJD_00160	CDS	522	nadR		COG1827	Transcription repressor NadR
GEALKAJD_00161	CDS	564	def_1	3.5.1.88	COG0242	Peptide deformylase
GEALKAJD_00162	CDS	270	rpsO		COG0184	30S ribosomal protein S15
GEALKAJD_00163	CDS	2127	pnp_1	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
GEALKAJD_00164	CDS	267				hypothetical protein
GEALKAJD_00165	CDS	1992	kup			Low affinity potassium transport system protein kup
GEALKAJD_00166	CDS	1302				hypothetical protein
GEALKAJD_00167	CDS	1371	dinF		COG0534	DNA damage-inducible protein F
GEALKAJD_00168	CDS	324				hypothetical protein
GEALKAJD_00169	CDS	606	ctc		COG1825	General stress protein CTC
GEALKAJD_00170	CDS	717	rsuA	5.4.99.19	COG1187	Ribosomal small subunit pseudouridine synthase A
GEALKAJD_00171	CDS	696	yfnB_1	3.-.-.-	COG1011	Putative HAD-hydrolase YfnB
GEALKAJD_00172	CDS	630	udk	2.7.1.48	COG0572	Uridine kinase
GEALKAJD_00173	CDS	339				IS3 family transposase ISEnfa3
GEALKAJD_00174	CDS	402				IS3 family transposase ISEnfa3
GEALKAJD_00175	CDS	537				hypothetical protein
GEALKAJD_00176	CDS	573				hypothetical protein
GEALKAJD_00177	CDS	489				hypothetical protein
GEALKAJD_00178	CDS	1374				hypothetical protein
GEALKAJD_00179	CDS	438				hypothetical protein
GEALKAJD_00180	CDS	1746	ubiB	2.7.-.-	COG0661	putative protein kinase UbiB
GEALKAJD_00181	CDS	1077	ddl	6.3.2.4	COG1181	D-alanine--D-alanine ligase
GEALKAJD_00182	CDS	1413	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
GEALKAJD_00183	CDS	1512	cshA	3.6.4.13	COG0513	ATP-dependent RNA helicase CshA
GEALKAJD_00184	CDS	237	acpS	2.7.8.7	COG0736	Holo-[acyl-carrier-protein] synthase
GEALKAJD_00185	CDS	1122	alr	5.1.1.1	COG0787	Alanine racemase
GEALKAJD_00186	CDS	363	ndoA	3.1.27.-	COG2337	Endoribonuclease EndoA
GEALKAJD_00187	CDS	144	rpsN2		COG0199	Alternate 30S ribosomal protein S14
GEALKAJD_00188	CDS	948				Zinc-type alcohol dehydrogenase-like protein
GEALKAJD_00189	CDS	2706				hypothetical protein
GEALKAJD_00190	CDS	1824	kimA		COG0531	Potassium transporter KimA
GEALKAJD_00191	CDS	264				hypothetical protein
GEALKAJD_00192	CDS	267				hypothetical protein
GEALKAJD_00193	CDS	489				hypothetical protein
GEALKAJD_00194	CDS	99				hypothetical protein
GEALKAJD_00195	CDS	672	opuCD		COG1174	Glycine betaine/carnitine/choline transport system permease protein OpuCD
GEALKAJD_00196	CDS	918	opuCC		COG1732	Glycine betaine/carnitine/choline-binding protein OpuCC
GEALKAJD_00197	CDS	642	opuCB		COG1174	Carnitine transport permease protein OpuCB
GEALKAJD_00198	CDS	1176	opuCA	7.6.2.9	COG1125	Carnitine transport ATP-binding protein OpuCA
GEALKAJD_00199	CDS	1032	queA	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
GEALKAJD_00200	CDS	2640		7.2.2.10		Calcium-transporting ATPase 1
GEALKAJD_00201	CDS	699				hypothetical protein
GEALKAJD_00202	CDS	1173	tgt	2.4.2.29		Queuine tRNA-ribosyltransferase
GEALKAJD_00203	CDS	381				hypothetical protein
GEALKAJD_00204	CDS	2598	adhE		COG1012	Aldehyde-alcohol dehydrogenase
GEALKAJD_00205	CDS	1107	yesR	3.2.1.172	COG4225	Unsaturated rhamnogalacturonyl hydrolase YesR
GEALKAJD_00206	CDS	1029			COG1638	Solute-binding protein
GEALKAJD_00207	CDS	480				hypothetical protein
GEALKAJD_00208	CDS	1296	dctM		COG1593	C4-dicarboxylate TRAP transporter large permease protein DctM
GEALKAJD_00209	CDS	825	iolE	4.2.1.44		Inosose dehydratase
GEALKAJD_00210	CDS	900	rhaS_1			HTH-type transcriptional activator RhaS
GEALKAJD_00211	CDS	870	araC			Arabinose operon regulatory protein
GEALKAJD_00212	CDS	1461	rhaB	2.7.1.5		Rhamnulokinase
GEALKAJD_00213	CDS	1257	rhaA	5.3.1.14	COG4806	L-rhamnose isomerase
GEALKAJD_00214	CDS	846	rhaD	4.1.2.19	COG0235	Rhamnulose-1-phosphate aldolase
GEALKAJD_00215	CDS	312	rhaM	5.1.3.32	COG3254	L-rhamnose mutarotase
GEALKAJD_00216	CDS	1152	fucO	1.1.1.77	COG1454	Lactaldehyde reductase
GEALKAJD_00217	CDS	759	iclR		COG1414	Transcriptional repressor IclR
GEALKAJD_00218	CDS	645	kdgA		COG0800	KHG/KDPG aldolase
GEALKAJD_00219	CDS	1008	kdgK	2.7.1.45		2-dehydro-3-deoxygluconokinase
GEALKAJD_00220	CDS	843	kduI1	5.3.1.17	COG3717	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase 1
GEALKAJD_00221	CDS	807	kduD	1.1.1.127		2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
GEALKAJD_00222	CDS	1065	fni	5.3.3.2		Isopentenyl-diphosphate delta-isomerase
GEALKAJD_00223	CDS	1086		2.7.4.2		Phosphomevalonate kinase
GEALKAJD_00224	CDS	978				hypothetical protein
GEALKAJD_00225	CDS	945	galK_1	2.7.1.6		Galactokinase
GEALKAJD_00226	CDS	654		2.7.1.113	COG1428	Deoxyguanosine kinase
GEALKAJD_00227	CDS	906				hypothetical protein
GEALKAJD_00228	CDS	633				hypothetical protein
GEALKAJD_00229	CDS	525	infC			Translation initiation factor IF-3
GEALKAJD_00230	CDS	201	rpmI		COG0291	50S ribosomal protein L35
GEALKAJD_00231	CDS	360	rplT		COG0292	50S ribosomal protein L20
GEALKAJD_00232	CDS	1338				hypothetical protein
GEALKAJD_00233	CDS	2130				hypothetical protein
GEALKAJD_00234	CDS	690				hypothetical protein
GEALKAJD_00235	CDS	687	rspR_1		COG1802	HTH-type transcriptional repressor RspR
GEALKAJD_00236	CDS	168				hypothetical protein
GEALKAJD_00237	CDS	441		3.1.2.28		1,4-dihydroxy-2-naphthoyl-CoA hydrolase
GEALKAJD_00238	CDS	846	nnrD	4.2.1.136	COG0063	ADP-dependent (S)-NAD(P)H-hydrate dehydratase
GEALKAJD_00239	CDS	1419	pepV	3.4.13.-		Beta-Ala-Xaa dipeptidase
GEALKAJD_00240	CDS	948				hypothetical protein
GEALKAJD_00241	CDS	351				hypothetical protein
GEALKAJD_00242	CDS	1080	pepA	3.4.11.7	COG1363	Glutamyl aminopeptidase
GEALKAJD_00243	CDS	321	ytpP			Thioredoxin-like protein YtpP
GEALKAJD_00244	CDS	465				Putative universal stress protein
GEALKAJD_00245	CDS	606				hypothetical protein
GEALKAJD_00246	CDS	1146	htrA	3.4.21.107	COG0265	Serine protease Do-like HtrA
GEALKAJD_00247	CDS	480	rlmH	2.1.1.177	COG1576	Ribosomal RNA large subunit methyltransferase H
GEALKAJD_00248	CDS	552				hypothetical protein
GEALKAJD_00249	CDS	1170				IS256 family transposase ISEfa13
GEALKAJD_00250	CDS	693	smc_2			Chromosome partition protein Smc
GEALKAJD_00251	CDS	393				hypothetical protein
GEALKAJD_00252	CDS	576	tdk_1	2.7.1.21		Thymidine kinase
GEALKAJD_00253	CDS	558				hypothetical protein
GEALKAJD_00254	CDS	1512	gadC_1		COG0531	Glutamate/gamma-aminobutyrate antiporter
GEALKAJD_00255	CDS	1401	gadB	4.1.1.15	COG0076	Glutamate decarboxylase
GEALKAJD_00256	CDS	1437				hypothetical protein
GEALKAJD_00257	CDS	594				hypothetical protein
GEALKAJD_00258	CDS	96				hypothetical protein
GEALKAJD_00259	CDS	300				hypothetical protein
GEALKAJD_00260	CDS	546				hypothetical protein
GEALKAJD_00261	CDS	297				hypothetical protein
GEALKAJD_00262	CDS	891				hypothetical protein
GEALKAJD_00263	CDS	1008				hypothetical protein
GEALKAJD_00264	CDS	1167				hypothetical protein
GEALKAJD_00265	CDS	834				hypothetical protein
GEALKAJD_00266	CDS	165				hypothetical protein
GEALKAJD_00267	CDS	267				hypothetical protein
GEALKAJD_00268	CDS	90				hypothetical protein
GEALKAJD_00269	CDS	1374				hypothetical protein
GEALKAJD_00270	CDS	1638				hypothetical protein
GEALKAJD_00271	CDS	1089				hypothetical protein
GEALKAJD_00272	CDS	954			COG2826	IS30 family transposase IS1252
GEALKAJD_00273	CDS	258				hypothetical protein
GEALKAJD_00274	CDS	405				hypothetical protein
GEALKAJD_00275	CDS	2658	norR_1			Anaerobic nitric oxide reductase transcription regulator NorR
GEALKAJD_00276	CDS	477	sorB_1	2.7.1.206	COG3444	PTS system sorbose-specific EIIB component
GEALKAJD_00277	CDS	789	agaC		COG3715	N-acetylgalactosamine permease IIC component 1
GEALKAJD_00278	CDS	798	manZ_1		COG3716	PTS system mannose-specific EIID component
GEALKAJD_00279	CDS	396				hypothetical protein
GEALKAJD_00280	CDS	1122				hypothetical protein
GEALKAJD_00281	CDS	870	gmuE_1	2.7.1.4	COG1940	Putative fructokinase
GEALKAJD_00282	CDS	510				hypothetical protein
GEALKAJD_00283	CDS	651				hypothetical protein
GEALKAJD_00284	CDS	939	panE_1	1.1.1.169	COG1893	2-dehydropantoate 2-reductase
GEALKAJD_00285	CDS	1053				hypothetical protein
GEALKAJD_00286	CDS	636				hypothetical protein
GEALKAJD_00287	CDS	792	msrA_1	1.8.4.11		Peptide methionine sulfoxide reductase MsrA
GEALKAJD_00288	CDS	909				IS982 family transposase ISEfm1
GEALKAJD_00289	CDS	369	paiA_1	2.3.1.57	COG0454	Spermidine/spermine N(1)-acetyltransferase
GEALKAJD_00290	CDS	546				hypothetical protein
GEALKAJD_00291	CDS	267				hypothetical protein
GEALKAJD_00292	CDS	300				hypothetical protein
GEALKAJD_00293	CDS	552				hypothetical protein
GEALKAJD_00294	CDS	294				hypothetical protein
GEALKAJD_00295	CDS	297				hypothetical protein
GEALKAJD_00296	CDS	999				hypothetical protein
GEALKAJD_00297	CDS	954			COG2826	IS30 family transposase IS1252
GEALKAJD_00298	CDS	759				hypothetical protein
GEALKAJD_00299	CDS	1296				ISL3 family transposase IS1251
GEALKAJD_00300	CDS	2712				hypothetical protein
GEALKAJD_00301	CDS	363				hypothetical protein
GEALKAJD_00302	CDS	1242	sstT		COG3633	Serine/threonine transporter SstT
GEALKAJD_00303	CDS	636				hypothetical protein
GEALKAJD_00304	CDS	741	truA_2	5.4.99.12	COG0101	tRNA pseudouridine synthase A
GEALKAJD_00305	CDS	1638				hypothetical protein
GEALKAJD_00306	CDS	342				hypothetical protein
GEALKAJD_00307	CDS	729				IS256 family transposase ISEf1
GEALKAJD_00308	CDS	1407				hypothetical protein
GEALKAJD_00309	CDS	1635				hypothetical protein
GEALKAJD_00310	CDS	834	msrA_2	1.8.4.11		Peptide methionine sulfoxide reductase MsrA
GEALKAJD_00311	CDS	990	gpr	1.1.1.-	COG0667	L-glyceraldehyde 3-phosphate reductase
GEALKAJD_00312	CDS	699	glcC		COG2186	Glc operon transcriptional activator
GEALKAJD_00313	CDS	1302	gmuC_1		COG1455	PTS system oligo-beta-mannoside-specific EIIC component
GEALKAJD_00314	CDS	1416	gmuD_1	3.2.1.86	COG2723	6-phospho-beta-glucosidase GmuD
GEALKAJD_00315	CDS	321	ptcB_1	2.7.1.204	COG1440	PTS system galactose-specific EIIB component
GEALKAJD_00316	CDS	318	licA_1		COG1447	Lichenan-specific phosphotransferase enzyme IIA component
GEALKAJD_00317	CDS	1254	licC_1		COG1455	Lichenan permease IIC component
GEALKAJD_00318	CDS	465				hypothetical protein
GEALKAJD_00319	CDS	321				hypothetical protein
GEALKAJD_00320	CDS	1134		1.1.1.1	COG1063	putative zinc-binding alcohol dehydrogenase
GEALKAJD_00321	CDS	330				hypothetical protein
GEALKAJD_00322	CDS	1695	sph	4.2.1.53		Oleate hydratase
GEALKAJD_00323	CDS	129				hypothetical protein
GEALKAJD_00324	CDS	366				hypothetical protein
GEALKAJD_00325	CDS	366				hypothetical protein
GEALKAJD_00326	CDS	1428				hypothetical protein
GEALKAJD_00327	CDS	1836	hdc	4.1.1.22		Histidine decarboxylase
GEALKAJD_00328	CDS	1479	gadC_2		COG0531	putative glutamate/gamma-aminobutyrate antiporter
GEALKAJD_00329	CDS	1332	cycA_2		COG1113	D-serine/D-alanine/glycine transporter
GEALKAJD_00330	CDS	2553		7.2.2.10		Calcium-transporting ATPase 1
GEALKAJD_00331	CDS	1440				hypothetical protein
GEALKAJD_00332	CDS	363				hypothetical protein
GEALKAJD_00333	CDS	858	hdfR_1			HTH-type transcriptional regulator HdfR
GEALKAJD_00334	CDS	912	fabD_1	2.3.1.39		Malonyl CoA-acyl carrier protein transacylase
GEALKAJD_00335	CDS	1647	madA	2.3.1.187		Acetyl-S-ACP:malonate ACP transferase
GEALKAJD_00336	CDS	300	mdcC			Malonate decarboxylase acyl carrier protein
GEALKAJD_00337	CDS	1677	accD_1	2.1.3.15		Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic
GEALKAJD_00338	CDS	594	mdcG	2.7.7.66		Phosphoribosyl-dephospho-CoA transferase
GEALKAJD_00339	CDS	1077				hypothetical protein
GEALKAJD_00340	CDS	870	citG	2.4.2.52	COG1767	2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase
GEALKAJD_00341	CDS	765				hypothetical protein
GEALKAJD_00342	CDS	135				hypothetical protein
GEALKAJD_00343	CDS	2094				hypothetical protein
GEALKAJD_00344	CDS	303				hypothetical protein
GEALKAJD_00345	CDS	807				IS3 family transposase ISEnfa3
GEALKAJD_00346	CDS	537				hypothetical protein
GEALKAJD_00347	CDS	1290	ulaA_1		COG3037	Ascorbate-specific PTS system EIIC component
GEALKAJD_00348	CDS	408				hypothetical protein
GEALKAJD_00349	CDS	870	fba_1	4.1.2.13		Fructose-bisphosphate aldolase
GEALKAJD_00350	CDS	621				hypothetical protein
GEALKAJD_00351	CDS	606				hypothetical protein
GEALKAJD_00352	CDS	453				hypothetical protein
GEALKAJD_00353	CDS	522	paiA_2	2.3.1.57	COG0454	Spermidine/spermine N(1)-acetyltransferase
GEALKAJD_00354	CDS	711				hypothetical protein
GEALKAJD_00355	CDS	372				hypothetical protein
GEALKAJD_00356	CDS	225				hypothetical protein
GEALKAJD_00357	CDS	1314	pbuG		COG2252	Guanine/hypoxanthine permease PbuG
GEALKAJD_00358	CDS	1623	malL_1	3.2.1.10	COG0366	Oligo-1,6-glucosidase
GEALKAJD_00359	CDS	1497	bglH_1	3.2.1.86	COG2723	Aryl-phospho-beta-D-glucosidase BglH
GEALKAJD_00360	CDS	1746				hypothetical protein
GEALKAJD_00361	CDS	1896	bglF_1		COG1263	PTS system beta-glucoside-specific EIIBCA component
GEALKAJD_00362	CDS	1458	bglH_2	3.2.1.86	COG2723	Aryl-phospho-beta-D-glucosidase BglH
GEALKAJD_00363	CDS	435				hypothetical protein
GEALKAJD_00364	CDS	1092		1.-.-.-		putative oxidoreductase
GEALKAJD_00365	CDS	678	hchA	3.1.2.-	COG0693	Protein/nucleic acid deglycase 1
