"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","Enterococcus_faecium_strain1","Enterococcus_faecium_strain2"
"group_158","","hypothetical protein","2","2","1","7","926","","","","440","440","440","PCFFDBNJ_00149","GEALKAJD_00611"
"group_159","","hypothetical protein","2","2","1","7","923","","","","425","425","425","PCFFDBNJ_00152","GEALKAJD_00614"
"rbsR","","Ribose operon repressor","2","2","1","7","919","","","","971","971","971","PCFFDBNJ_00156","GEALKAJD_00615"
"group_161","gmuD_2","6-phospho-beta-glucosidase GmuD","2","2","1","7","918","","","","1397","1397","1397","PCFFDBNJ_00157","GEALKAJD_00616"
"group_162","","hypothetical protein","2","2","1","7","917","","","","623","623","623","PCFFDBNJ_00158","GEALKAJD_00617"
"ndk","","Nucleoside diphosphate kinase","2","2","1","7","914","","","","437","437","437","PCFFDBNJ_00161","GEALKAJD_00620"
"mgtA","","Magnesium-transporting ATPase, P-type 1","2","2","1","7","912","","","","2648","2648","2648","PCFFDBNJ_00162","GEALKAJD_00621"
"group_165","","hypothetical protein","2","2","1","7","910","","","","599","599","599","PCFFDBNJ_00164","GEALKAJD_00623"
"metN","","Methionine import ATP-binding protein MetN","2","2","1","7","908","","","","1073","1073","1073","PCFFDBNJ_00165","GEALKAJD_00624"
"metP_2","","Methionine import system permease protein MetP","2","2","1","7","907","","","","680","680","680","PCFFDBNJ_00166","GEALKAJD_00625"
"metQ_2","","D-methionine-binding lipoprotein MetQ","2","2","1","7","906","","","","839","839","839","PCFFDBNJ_00167","GEALKAJD_00626"
"abgB","","p-aminobenzoyl-glutamate hydrolase subunit B","2","2","1","7","905","","","","1223","1223","1223","PCFFDBNJ_00168","GEALKAJD_00627"
"group_170","panE_2","2-dehydropantoate 2-reductase","2","2","1","7","899","","","","941","941","941","PCFFDBNJ_00173","GEALKAJD_00632"
"garK","","Glycerate 2-kinase","2","2","1","7","898","","","","1121","1121","1121","PCFFDBNJ_00174","GEALKAJD_00633"
"eat(A)","","ABC-F type ribosomal protection protein Eat(A)","2","2","1","7","897","","","","1502","1502","1502","PCFFDBNJ_00175","GEALKAJD_00634"
"pspB","","Putative phosphoserine phosphatase 2","2","2","1","7","896","","","","527","527","527","PCFFDBNJ_00176","GEALKAJD_00635"
"group_174","","hypothetical protein","2","2","1","7","895","","","","1061","1061","1061","PCFFDBNJ_00177","GEALKAJD_00636"
"group_175","","Putative NrdI-like protein","2","2","1","7","892","","","","446","446","446","PCFFDBNJ_00180","GEALKAJD_00639"
"group_176","","hypothetical protein","2","2","1","7","890","","","","773","773","773","PCFFDBNJ_00182","GEALKAJD_00641"
"bcrA_1","","Bacitracin transport ATP-binding protein BcrA","2","2","1","7","889","","","","905","905","905","PCFFDBNJ_00183","GEALKAJD_00642"
"group_178","","hypothetical protein","2","2","1","7","884","","","","1277","1277","1277","PCFFDBNJ_00188","GEALKAJD_00647"
"group_179","","hypothetical protein","2","2","1","7","882","","","","380","380","380","PCFFDBNJ_00190","GEALKAJD_00649"
"group_180","","hypothetical protein","2","2","1","7","868","","","","1478","1478","1478","PCFFDBNJ_00204","GEALKAJD_00663"
"group_181","","hypothetical protein","2","2","1","7","865","","","","806","806","806","PCFFDBNJ_00207","GEALKAJD_00666"
"ifcA","","Fumarate reductase flavoprotein subunit","2","2","1","7","864","","","","1514","1514","1514","PCFFDBNJ_00208","GEALKAJD_00667"
"panT_1","","Pantothenic acid transporter PanT","2","2","1","7","861","","","","632","632","632","PCFFDBNJ_00211","GEALKAJD_00670"
"coaBC_1","","Coenzyme A biosynthesis bifunctional protein CoaBC","2","2","1","7","860","","","","551","551","551","PCFFDBNJ_00212","GEALKAJD_00671"
"group_185","cdr_2","Coenzyme A disulfide reductase","2","2","1","7","848","","","","1613","1613","1613","PCFFDBNJ_00221","GEALKAJD_02104"
"group_186","","Putative two-component membrane permease complex subunit SMU_747c","2","2","1","7","844","","","","929","929","929","PCFFDBNJ_00225","GEALKAJD_02093"
"group_187","","Putative two-component membrane permease complex subunit SMU_746c","2","2","1","7","842","","","","836","842","839","PCFFDBNJ_00226","GEALKAJD_02092"
"group_188","","hypothetical protein","2","2","1","7","836","","","","479","479","479","PCFFDBNJ_00229","GEALKAJD_02088"
"group_189","","hypothetical protein","2","2","1","7","801","","","","680","680","680","PCFFDBNJ_00242","GEALKAJD_02055"
"group_190","","hypothetical protein","2","2","1","7","798","","","","347","2480","1413","PCFFDBNJ_00245","GEALKAJD_02052"
"group_191","","hypothetical protein","2","2","1","7","797","","","","539","1508","1023","PCFFDBNJ_00248","GEALKAJD_02051"
"group_192","","putative ABC transporter permease","2","2","1","7","795","","","","1070","1070","1070","PCFFDBNJ_00251","GEALKAJD_02049"
"group_193","","hypothetical protein","2","2","1","7","789","","","","911","914","912","PCFFDBNJ_00255","GEALKAJD_02046"
"rnhC","","Ribonuclease HIII","2","2","1","7","787","","","","917","917","917","PCFFDBNJ_00256","GEALKAJD_02045"
"yhaP","","putative protein YhaP","2","2","1","7","780","","","","1262","1262","1262","PCFFDBNJ_00263","GEALKAJD_02038"
"lipL","","Octanoyl-[GcvH]:protein N-octanoyltransferase","2","2","1","7","757","","","","830","830","830","PCFFDBNJ_00284","GEALKAJD_02017"
"group_197","","hypothetical protein","2","2","1","7","756","","","","437","437","437","PCFFDBNJ_00285","GEALKAJD_02016"
"sigV","","RNA polymerase sigma factor SigV","2","2","1","7","754","","","","506","512","509","PCFFDBNJ_00287","GEALKAJD_02014"
"rsiV","","Anti-sigma-V factor RsiV","2","2","1","7","753","","","","899","899","899","PCFFDBNJ_00288","GEALKAJD_02013"
"rpoN1","","RNA polymerase sigma-54 factor 1","2","2","1","7","749","","","","1331","1334","1332","PCFFDBNJ_00291","GEALKAJD_02009"
"dapE","","putative succinyl-diaminopimelate desuccinylase","2","2","1","7","742","","","","806","1139","972","PCFFDBNJ_00298","GEALKAJD_02002"
"group_202","menH_1","2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase","2","2","1","7","739","","","","968","968","968","PCFFDBNJ_00301","GEALKAJD_01999"
"yjdJ","","putative protein YjdJ","2","2","1","7","737","","","","278","305","291","PCFFDBNJ_00302","GEALKAJD_01998"
"secG","","putative protein-export membrane protein SecG","2","2","1","7","736","","","","236","236","236","PCFFDBNJ_00303","GEALKAJD_01997"
"est","","Carboxylesterase","2","2","1","7","735","","","","755","755","755","PCFFDBNJ_00304","GEALKAJD_01996"
"atpE_1","","ATP synthase subunit c","2","2","1","7","731","","","","215","215","215","PCFFDBNJ_00308","GEALKAJD_01992"
"group_207","","Putative membrane protein insertion efficiency factor","2","2","1","7","3730","","","","296","296","296","PCFFDBNJ_00318","GEALKAJD_01982"
"group_208","","hypothetical protein","2","2","1","7","3734","","","","236","236","236","PCFFDBNJ_00321","GEALKAJD_01979"
"yigZ","","hypothetical protein","2","2","1","7","3737","","","","401","644","522","PCFFDBNJ_00326","GEALKAJD_01974"
"group_210","","hypothetical protein","2","2","1","7","3738","","","","287","287","287","PCFFDBNJ_00327","GEALKAJD_01972"
"hpf","","Ribosome hibernation promotion factor","2","2","1","7","3744","","","","551","551","551","PCFFDBNJ_00331","GEALKAJD_01968"
"clsA_2","","Major cardiolipin synthase ClsA","2","2","1","7","3749","","","","1448","1448","1448","PCFFDBNJ_00336","GEALKAJD_01963"
"group_213","","hypothetical protein","2","2","1","7","3759","","","","1568","1568","1568","PCFFDBNJ_00345","GEALKAJD_01954"
"group_214","","hypothetical protein","2","2","1","7","3760","","","","308","320","314","PCFFDBNJ_00346","GEALKAJD_01953"
"gpsA_1","","Glycerol-3-phosphate dehydrogenase [NAD(P)+]","2","2","1","7","3764","","","","1025","1025","1025","PCFFDBNJ_00350","GEALKAJD_01949"
"pepQ","","Xaa-Pro dipeptidase","2","2","1","7","3771","","","","1103","1106","1104","PCFFDBNJ_00354","GEALKAJD_01942"
"ponA_2","","Penicillin-binding protein 1A/1B","2","2","1","7","3776","","","","2345","2345","2345","PCFFDBNJ_00362","GEALKAJD_01940"
"bglH_5","","Aryl-phospho-beta-D-glucosidase BglH","2","2","1","7","3787","","","","1433","1433","1433","PCFFDBNJ_00373","GEALKAJD_01929"
"czrA","","HTH-type transcriptional repressor CzrA","2","2","1","7","3790","","","","293","350","321","PCFFDBNJ_00376","GEALKAJD_01926"
"yqfL","","Putative pyruvate, phosphate dikinase regulatory protein","2","2","1","7","3791","","","","860","860","860","PCFFDBNJ_00377","GEALKAJD_01925"
"brnQ_1","","Branched-chain amino acid transport system 2 carrier protein","2","2","1","7","3795","","","","1379","1379","1379","PCFFDBNJ_00381","GEALKAJD_01920"
"group_222","","IS30 family transposase IS1062","2","2","1","7","3797","","","","959","959","959","PCFFDBNJ_00382","GEALKAJD_03011"
"pgpH","","Cyclic-di-AMP phosphodiesterase PgpH","2","2","1","7","3714","","","","2192","2192","2192","PCFFDBNJ_00384","GEALKAJD_01918"
"dgkA","","Undecaprenol kinase","2","2","1","7","3712","","","","395","401","398","PCFFDBNJ_00386","GEALKAJD_01916"
"recO","","DNA repair protein RecO","2","2","1","7","3710","","","","812","812","812","PCFFDBNJ_00388","GEALKAJD_01914"
"glyS","","Glycine--tRNA ligase beta subunit","2","2","1","7","3708","","","","2075","2075","2075","PCFFDBNJ_00390","GEALKAJD_01912"
"tagU_1","","Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU","2","2","1","7","3705","","","","944","944","944","PCFFDBNJ_00392","GEALKAJD_01910"
"ywqE","","Tyrosine-protein phosphatase YwqE","2","2","1","7","3702","","","","764","764","764","PCFFDBNJ_00395","GEALKAJD_01907"
"yidC","","Membrane protein insertase YidC","2","2","1","7","3680","","","","929","950","939","PCFFDBNJ_00417","GEALKAJD_01862"
"eriC","","Chloride/fluoride channel protein","2","2","1","7","3669","","","","1268","1268","1268","PCFFDBNJ_00422","GEALKAJD_01855"
"group_231","","hypothetical protein","2","2","1","7","3668","","","","1199","1199","1199","PCFFDBNJ_00423","GEALKAJD_01854"
"group_232","dinG_2","3'-5' exonuclease DinG","2","2","1","7","3660","","","","2789","2789","2789","PCFFDBNJ_00430","GEALKAJD_01847"
"yccF","","Inner membrane protein YccF","2","2","1","7","3654","","","","359","359","359","PCFFDBNJ_00437","GEALKAJD_01841"
"copY","","Transcriptional repressor CopY","2","2","1","7","3649","","","","440","440","440","PCFFDBNJ_00441","GEALKAJD_01835"
"copA","","putative copper-importing P-type ATPase A","2","2","1","7","3647","","","","2186","2186","2186","PCFFDBNJ_00443","GEALKAJD_01833"
"copB","","Copper-exporting P-type ATPase B","2","2","1","7","3646","","","","2165","2171","2168","PCFFDBNJ_00444","GEALKAJD_01832"
"group_237","","hypothetical protein","2","2","1","7","3635","","","","569","575","572","PCFFDBNJ_00450","GEALKAJD_01824"
"group_238","pstS1_2","Phosphate-binding protein PstS 1","2","2","1","7","3452","","","","890","890","890","PCFFDBNJ_00453","GEALKAJD_01802"
"ctpE_1","","Calcium-transporting ATPase CtpE","2","2","1","7","3449","","","","2468","2471","2469","PCFFDBNJ_00454","GEALKAJD_01798"
"phoR_1","","Alkaline phosphatase synthesis sensor protein PhoR","2","2","1","7","3448","","","","1736","1739","1737","PCFFDBNJ_00456","GEALKAJD_01797"
"group_241","","hypothetical protein","2","2","1","7","3445","","","","338","338","338","PCFFDBNJ_00459","GEALKAJD_01794"
"tag","","DNA-3-methyladenine glycosylase 1","2","2","1","7","3443","","","","572","578","575","PCFFDBNJ_00461","GEALKAJD_01792"
"chrR","","Quinone reductase","2","2","1","7","3440","","","","554","554","554","PCFFDBNJ_00463","GEALKAJD_01790"
"trmD","","tRNA (guanine-N(1)-)-methyltransferase","2","2","1","7","3431","","","","761","761","761","PCFFDBNJ_00472","GEALKAJD_01785"
"group_245","","hypothetical protein","2","2","1","7","3423","","","","446","1430","938","PCFFDBNJ_00480","GEALKAJD_01732"
"group_246","","hypothetical protein","2","2","1","7","3419","","","","494","713","603","PCFFDBNJ_00483","GEALKAJD_01728"
"group_247","","hypothetical protein","2","2","1","7","3418","","","","422","422","422","PCFFDBNJ_00484","GEALKAJD_01727"
"araQ_2","","L-arabinose transport system permease protein AraQ","2","2","1","7","3409","","","","800","815","807","PCFFDBNJ_00490","GEALKAJD_01722"
"group_249","","hypothetical protein","2","2","1","7","3408","","","","215","662","438","PCFFDBNJ_00491","GEALKAJD_01721"
"aldC","","Alpha-acetolactate decarboxylase","2","2","1","7","3406","","","","710","710","710","PCFFDBNJ_00493","GEALKAJD_01718"
"group_251","","hypothetical protein","2","2","1","7","3588","","","","497","497","497","PCFFDBNJ_00494","GEALKAJD_01717"
"group_252","","Putative phosphatase","2","2","1","7","3593","","","","773","773","773","PCFFDBNJ_00499","GEALKAJD_01709"
"group_253","","hypothetical protein","2","2","1","7","3594","","","","350","350","350","PCFFDBNJ_00500","GEALKAJD_01708"
"rlmI","","Ribosomal RNA large subunit methyltransferase I","2","2","1","7","3602","","","","1178","1178","1178","PCFFDBNJ_00506","GEALKAJD_01702"
"aroD","","3-dehydroquinate dehydratase","2","2","1","7","3603","","","","752","758","755","PCFFDBNJ_00507","GEALKAJD_01701"
"ybaK_1","","Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK","2","2","1","7","3604","","","","485","485","485","PCFFDBNJ_00508","GEALKAJD_01700"
"gdh","","NADP-specific glutamate dehydrogenase","2","2","1","7","3606","","","","1349","1349","1349","PCFFDBNJ_00510","GEALKAJD_01698"
"group_258","","hypothetical protein","2","2","1","7","3610","","","","386","386","386","PCFFDBNJ_00527","GEALKAJD_01696"
"group_259","","hypothetical protein","2","2","1","7","3574","","","","1799","1799","1799","PCFFDBNJ_00531","GEALKAJD_01690"
"group_260","","hypothetical protein","2","2","1","7","3573","","","","596","596","596","PCFFDBNJ_00532","GEALKAJD_01689"
"group_261","","hypothetical protein","2","2","1","7","3571","","","","344","344","344","PCFFDBNJ_00533","GEALKAJD_01687"
"group_262","","hypothetical protein","2","2","1","7","3569","","","","350","353","351","PCFFDBNJ_00535","GEALKAJD_01685"
"group_263","","hypothetical protein","2","2","1","7","3568","","","","1331","1331","1331","PCFFDBNJ_00536","GEALKAJD_01684"
"group_264","","hypothetical protein","2","2","1","7","3560","","","","446","446","446","PCFFDBNJ_00541","GEALKAJD_01676"
"folA_2","","Dihydrofolate reductase","2","2","1","7","3558","","","","518","518","518","PCFFDBNJ_00543","GEALKAJD_01674"
"yfiY","","putative siderophore-binding lipoprotein YfiY","2","2","1","7","3557","","","","956","956","956","PCFFDBNJ_00544","GEALKAJD_01673"
"feuB","","Iron-uptake system permease protein FeuB","2","2","1","7","3555","","","","770","989","879","PCFFDBNJ_00546","GEALKAJD_01671"
"galT","","Galactose-1-phosphate uridylyltransferase","2","2","1","7","3540","","","","1484","1484","1484","PCFFDBNJ_00557","GEALKAJD_01660"
"group_269","","hypothetical protein","2","2","1","7","3537","","","","542","542","542","PCFFDBNJ_00560","GEALKAJD_01657"
"group_270","","hypothetical protein","2","2","1","7","3532","","","","701","701","701","PCFFDBNJ_00564","GEALKAJD_01654"
"argR_2","","Arginine repressor","2","2","1","7","3524","","","","479","479","479","PCFFDBNJ_00572","GEALKAJD_01646"
"uppS","","Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)","2","2","1","7","3519","","","","812","812","812","PCFFDBNJ_00577","GEALKAJD_01641"
"rasP","","Regulator of sigma-W protease RasP","2","2","1","7","3517","","","","1268","1268","1268","PCFFDBNJ_00579","GEALKAJD_01639"
"truB","","tRNA pseudouridine synthase B","2","2","1","7","3506","","","","923","923","923","PCFFDBNJ_00589","GEALKAJD_01628"
"hemW","","Heme chaperone HemW","2","2","1","7","3488","","","","1166","1166","1166","PCFFDBNJ_00602","GEALKAJD_01617"
"grpE","","Protein GrpE","2","2","1","7","3486","","","","410","563","486","PCFFDBNJ_00604","GEALKAJD_01615"
"group_277","","Pyruvate:ferredoxin oxidoreductase","2","2","1","7","2526","","","","3692","3692","3692","PCFFDBNJ_00623","GEALKAJD_01593"
"glpF","","Glycerol uptake facilitator protein","2","2","1","7","2100","","","","716","716","716","PCFFDBNJ_02415","GEALKAJD_00371"
"ptcB_2","","PTS system galactose-specific EIIB component","2","2","1","7","609","","","","317","317","317","PCFFDBNJ_01475","GEALKAJD_00788"
"rpsQ","","30S ribosomal protein S17","2","2","1","7","2841","","","","266","266","266","PCFFDBNJ_01697","GEALKAJD_00068"
"ptcB_1","","PTS system galactose-specific EIIB component","2","2","1","7","3741","","","","320","320","320","PCFFDBNJ_00328","GEALKAJD_01971"
"nrdH","","Glutaredoxin-like protein NrdH","2","2","1","7","382","","","","224","224","224","PCFFDBNJ_02000","GEALKAJD_02306"
"group_2776","","hypothetical protein","2","2","1","7","2583","","","","269","269","269","PCFFDBNJ_02321","GEALKAJD_02496"
"atpD","","ATP synthase subunit beta","2","2","1","7","726","","","","1406","1406","1406","PCFFDBNJ_00313","GEALKAJD_01987"
"potB","","Spermidine/putrescine transport system permease protein PotB","2","2","1","7","853","","","","806","806","806","PCFFDBNJ_00217","GEALKAJD_00676"
"group_2779","","hypothetical protein","2","2","1","7","2470","","","","341","341","341","PCFFDBNJ_02718","GEALKAJD_02422"
"sppA","","Putative signal peptide peptidase SppA","2","2","1","7","2537","","","","1025","1025","1025","PCFFDBNJ_00631","GEALKAJD_01587"
"group_2780","gadC_3","putative glutamate/gamma-aminobutyrate antiporter","2","2","1","7","3054","","","","1421","1421","1421","PCFFDBNJ_02387","GEALKAJD_00396"
"group_2781","","hypothetical protein","2","2","1","7","2907","","","","221","221","221","PCFFDBNJ_01765","GEALKAJD_00128"
"rpsP","","30S ribosomal protein S16","2","2","1","7","3435","","","","275","275","275","PCFFDBNJ_00468","GEALKAJD_01789"
"group_2783","","hypothetical protein","2","2","1","7","586","","","","527","527","527","PCFFDBNJ_01580","GEALKAJD_02109"
"artM_2","","Arginine transport ATP-binding protein ArtM","2","2","1","7","3479","","","","737","737","737","PCFFDBNJ_00611","GEALKAJD_01611"
"cspL","","Cold shock protein 2","2","2","1","7","1492","","","","200","200","200","PCFFDBNJ_00797","GEALKAJD_01471"
"nrdF","","Ribonucleoside-diphosphate reductase 2 subunit beta","2","2","1","7","2356","","","","965","965","965","PCFFDBNJ_01998","GEALKAJD_02308"
"frr","","Ribosome-recycling factor","2","2","1","7","3520","","","","557","557","557","PCFFDBNJ_00576","GEALKAJD_01642"
"guaC","","GMP reductase","2","2","1","7","1815","","","","977","977","977","PCFFDBNJ_01085","GEALKAJD_01206"
"pepA","","Glutamyl aminopeptidase","2","2","1","7","3148","","","","1079","1079","1079","PCFFDBNJ_01894","GEALKAJD_00242"
"group_279","","hypothetical protein","2","2","1","7","2540","","","","932","932","932","PCFFDBNJ_00633","GEALKAJD_01585"
"rpsJ","","30S ribosomal protein S10","2","2","1","7","2830","","","","308","308","308","PCFFDBNJ_01687","GEALKAJD_00057"
"mltG","","Endolytic murein transglycosylase","2","2","1","7","1184","","","","1175","1175","1175","PCFFDBNJ_01372","GEALKAJD_00907"
"ntpG","","V-type sodium ATPase subunit G","2","2","1","7","772","","","","311","311","311","PCFFDBNJ_00271","GEALKAJD_02030"
"group_2793","","hypothetical protein","2","2","1","7","3589","","","","260","260","260","PCFFDBNJ_00495","GEALKAJD_01716"
"rpsD","","30S ribosomal protein S4","2","2","1","7","2911","","","","611","611","611","PCFFDBNJ_01769","GEALKAJD_00132"
"rpsZ","","30S ribosomal protein S14 type Z","2","2","1","7","2845","","","","185","185","185","PCFFDBNJ_01701","GEALKAJD_00072"
"dnaK","","Chaperone protein DnaK","2","2","1","7","3485","","","","1829","1829","1829","PCFFDBNJ_00605","GEALKAJD_01614"
"group_2797","","hypothetical protein","2","2","1","7","2749","","","","191","191","191","PCFFDBNJ_01614","GEALKAJD_02646"
"group_2798","","hypothetical protein","2","2","1","7","579","","","","212","212","212","PCFFDBNJ_01586","GEALKAJD_02115"
"group_2799","","hypothetical protein","2","2","1","7","3542","","","","167","167","167","PCFFDBNJ_00555","GEALKAJD_01662"
"group_28","","hypothetical protein","2","2","1","7","2004","","","","1424","1877","1650","PCFFDBNJ_00907","GEALKAJD_01368"
"glcR","","HTH-type transcriptional repressor GlcR","2","2","1","7","2548","","","","752","758","755","PCFFDBNJ_00640","GEALKAJD_01578"
"gatC_1","","Glutamyl-tRNA(Gln) amidotransferase subunit C","2","2","1","7","2554","","","","305","305","305","PCFFDBNJ_00646","GEALKAJD_01572"
"group_2801","","hypothetical protein","2","2","1","7","695","","","","365","365","365","PCFFDBNJ_01557","GEALKAJD_00706"
"ndoA","","Endoribonuclease EndoA","2","2","1","7","2969","","","","362","362","362","PCFFDBNJ_01822","GEALKAJD_00186"
"xseB","","Exodeoxyribonuclease 7 small subunit","2","2","1","7","642","","","","224","224","224","PCFFDBNJ_01505","GEALKAJD_00758"
"era","","GTPase Era","2","2","1","7","3711","","","","899","899","899","PCFFDBNJ_00387","GEALKAJD_01915"
